                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     289                                      923                  4.0000000000000000E+000                  1.4000000000000005E-002                  1.7006356897915718E+008                  1.3250064120202462E+004                  1.3160162876435685E+004                  5.5810351484639432E+002                  4.5445199156704383E+000                 -3.8852249510725159E+000                  9.0760412329647872E-004                  1.3204245172265161E-014                  9.8553873749757404E-001                  1.2166484780981200E-004                  8.4698671709425924E-003                  1.8750556227581133E-004                  1.1950875329172408E-003                  4.0000000000000000E+000                  0.0000000000000000E+000                  2.2806588049087693E+000                  2.6491487917966596E-004                  1.6634781452212761E+000                  4.8138286436524708E-003                  1.3888753335933108E-002                  1.7606078747610759E-002                  4.8223792638872652E-003                  4.7961741370587119E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8479605509454748E+004                  1.4855871091122384E+005                  7.1671292038017571E+007                  4.9499513053145819E+002                  4.9499387876521428E+002                  7.9937212362312852E-024                  3.3613666844664735E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.3667980844166510E+015                               "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230811"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha                              mixing_type                                log_D_mix                                 brunt_N2                  brunt_N2_structure_term                brunt_N2_composition_term 
                                       1                  4.0000000000000000E+000                  6.5748801099304000E-001                  4.1203550728584659E+000                 -9.4355089012458233E+000                  2.8265876570620891E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.2663248932044680E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4433666451040931E+001                  3.0387483603946215E-006                  3.0387483603946215E-006                  0.0000000000000000E+000 
                                       2                  3.9999999999970002E+000                  6.5747022790637866E-001                  4.1229909040128279E+000                 -9.4177675151344058E+000                  2.8459672879250602E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.3191277708387948E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4433666451040931E+001                  2.9682391938822721E-006                  2.9682391938822721E-006                  0.0000000000000000E+000 
                                       3                  3.9999999999927187E+000                  6.5744586223874535E-001                  4.1252981947803615E+000                 -9.4027582139757211E+000                  2.8624912962194098E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.3655149260434403E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4418672170691938E+001                  2.7725422764249935E-006                  2.7725422764249935E-006                  0.0000000000000000E+000 
                                       4                  3.9999999999905311E+000                  6.5743383402661404E-001                  4.1272289808825668E+000                 -9.3905866341705853E+000                  2.8759880571343412E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.4043270715944407E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4406511974205856E+001                  2.6763865572766399E-006                  2.6763865572766399E-006                  0.0000000000000000E+000 
                                       5                  3.9999999999872498E+000                  6.5741628855209200E-001                  4.1295144237452552E+000                 -9.3765474747238393E+000                  2.8916517689396106E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.4504665050903980E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4392485107520242E+001                  2.5368495712982449E-006                  2.5368495712982449E-006                  0.0000000000000000E+000 
                                       6                  3.9999999999839684E+000                  6.5739929916305817E-001                  4.1321405105878526E+000                 -9.3608952148754394E+000                  2.9092421893097522E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.5036968093451146E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4376845371858954E+001                  2.4023817694517984E-006                  2.4023817694517984E-006                  0.0000000000000000E+000 
                                       7                  3.9999999999795932E+000                  6.5737744558758426E-001                  4.1344536763792723E+000                 -9.3474408100296138E+000                  2.9244555726310772E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.5510112844992911E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4363400702509818E+001                  2.2301928906479824E-006                  2.2301928906479824E-006                  0.0000000000000000E+000 
                                       8                  3.9999999999770934E+000                  6.5736533734838987E-001                  4.1366842383509059E+000                 -9.3348163760163896E+000                  2.9388270032591288E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.5967600307540078E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4350784414947325E+001                  2.1352516165176146E-006                  2.1352516165176146E-006                  0.0000000000000000E+000 
                                       9                  3.9999999999728750E+000                  6.5734548790762215E-001                  4.1394298988468430E+000                 -9.3196178611649447E+000                  2.9562293798204173E+000                  7.1006317774787597E-001                  2.7604541252154502E-001                  1.3891409730579007E-002                  1.6536305526596329E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                                        7                  1.4335594377941629E+001                  1.9802913648823101E-006                  1.9802913648823101E-006                  0.0000000000000000E+000 
