                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     250                                      850                  4.0000000000000000E+000                  1.4000000000000005E-002                  1.5705296140793186E+008                  2.0252208458951626E+006                  1.3049926163380962E+004                  4.5735955350980578E+002                  4.1837519675169652E+000                 -4.2796064401083358E+000                  2.6303636743097969E-001                  4.3267700065445853E-008                  7.2338404629966913E-001                  7.7852880550918625E-005                  8.4074014766514858E-003                  3.3032289171234191E-004                  1.2009427289540972E-003                  4.0000000000000000E+000                  0.0000000000000000E+000                  2.3346640864175816E+000                  2.5027953188812790E-004                  1.6096263099377226E+000                  4.9431323707800961E-003                  1.4568747148966348E-002                  1.6675779668084319E-002                  4.8239763467666629E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2822888208416538E+004                  1.9691427737883051E+005                  8.7458542612781346E+007                  4.5790491428628258E+002                  4.5790440822812366E+002                  3.5698901610956968E-032                  3.1307959555778247E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.9562145349269510E+015                               "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230811"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  4.0000000000000000E+000                  6.2156592960403134E-001                  4.1170375925358975E+000                 -9.4002918686670647E+000                  2.8531816997775343E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.0819471601149619E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.9999999999970002E+000                  6.2154491306461779E-001                  4.1194451428216272E+000                 -9.3840881934073348E+000                  2.8709680452789765E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.1991100503240910E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.9999999999949063E+000                  6.2153078073284485E-001                  4.1214468131195900E+000                 -9.3710571814319916E+000                  2.8853755812174704E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.2965559491137270E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.9999999999927187E+000                  6.2151645064860284E-001                  4.1234689376901272E+000                 -9.3582495370274756E+000                  2.8996227183604240E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.3952233856604049E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.9999999999905311E+000                  6.2150253564040014E-001                  4.1259644354063232E+000                 -9.3429110683868632E+000                  2.9168006902306152E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.5172815703435862E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.9999999999872498E+000                  6.2148238506948494E-001                  4.1289034164998863E+000                 -9.3253938792151274E+000                  2.9365592962585767E+000                  7.1008198526941702E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.6620535557802979E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.9999999999839684E+000                  6.2146302845382340E-001                  4.1317837119690708E+000                 -9.3087611490141295E+000                  2.9554612470071868E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.8050272882292891E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.9999999999806866E+000                  6.2144439670249130E-001                  4.1347384064973776E+000                 -9.2921959105336196E+000                  2.9744218886848244E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  3.9529686830803146E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.9999999999770934E+000                  6.2142475159554689E-001                  4.1380178969844890E+000                 -9.2743365085150717E+000                  2.9950124021688813E+000                  7.1008198526941690E-001                  2.7602672486950958E-001                  1.3891289861073464E-002                  4.1189182374513265E-018                  0.0000000000000000E+000                  0.0000000000000000E+000 
